Id,SalePrice
1461,123244.8204
1462,145112.1809
1463,171332.4923
1464,194696.3368
1465,196217.2207
1466,173344.3183
1467,183561.0026
1468,172030.7956
1469,197986.701
1470,111856.742
1471,181889.4714
1472,106323.2092
1473,102397.7862
1474,159409.2022
1475,122766.4908
1476,358072.6643
1477,263277.7577
1478,304031.917
1479,290494.0284
1480,512606.1836
1481,321718.3539
1482,220153.992
1483,175795.5103
1484,165458.6737
1485,183533.6149
1486,193059.7858
1487,345418.1682
1488,245168.9016
1489,198596.2904
1490,211559.132
1491,190953.6003
1492,108464.492
1493,192315.4159
1494,297382.8935
1495,295149.1345
1496,223185.5359
1497,190802.3864
1498,165648.4619
1499,176076.7953
1500,165562.9252
1501,173387.244
1502,165915.7883
1503,264809.144
1504,243347.4372
1505,224516.4
1506,196593.9488
1507,242592.5726
1508,214107.8671
1509,159125.401
1510,133989.1794
1511,132533.4516
1512,163576.2033
1513,132547.327
1514,151026.6821
1515,173313.533
1516,152379.3986
1517,164542.1745
1518,140298.2935
1519,193680.8431
1520,120975.0035
1521,116423.7831
1522,165766.8068
1523,103291.8395
1524,117331.8335
1525,116143.9185
1526,115994.2219
1527,107954.7561
1528,141493.086
1529,126409.9443
1530,172665.0204
1531,116027.5155
1532,119463.8639
1533,161513.0748
1534,124695.6813
1535,134212.1934
1536,108143.8895
1537,73513.20944
1538,172681.1982
1539,201456.0453
1540,96746.68655
1541,132299.4183
1542,125060.0767
1543,169060.5264
1544,104521.2044
1545,121567.5537
1546,143780.6161
1547,132164.0439
1548,132569.7895
1549,116385.8454
1550,122886.6273
1551,118913.2816
1552,121919.9115
1553,135967.6133
1554,124076.4985
1555,169192.8829
1556,96105.41762
1557,98785.42234
1558,105866.3573
1559,77514.98983
1560,143806.252
1561,124893.1053
1562,128030.6626
1563,107823.4813
1564,157529.2622
1565,134639.8976
1566,256455.2246
1567,82749.75155
1568,238621.896
1569,113974.9819
1570,151413.1451
1571,111976.5542
1572,137420.9046
1573,205896.0342
1574,121195.4063
1575,226589.7499
1576,252576.3968
1577,187076.4521
1578,156814.0552
1579,144054.3579
1580,196571.2679
1581,163301.7053
1582,133552.973
1583,295731.444
1584,223728.7145
1585,142679.6788
1586,82362.37199
1587,101795.0611
1588,142856.8471
1589,97784.82557
1590,141218.7295
1591,91115.97547
1592,118845.3218
1593,130871.7581
1594,119176.857
1595,100613.4976
1596,215184.4994
1597,163906.1813
1598,192874.5963
1599,177073.9088
1600,173308.3104
1601,71168.70409
1602,108374.1599
1603,100667.436
1604,252212.569
1605,234444.9324
1606,178084.7789
1607,185481.644
1608,221467.4318
1609,191737.6621
1610,139496.5704
1611,137154.2488
1612,161318.0733
1613,159187.8358
1614,132914.2592
1615,101027.6938
1616,85673.14081
1617,105847.2813
1618,117111.1512
1619,141381.4862
1620,161123.6253
1621,122254.8037
1622,125574.9979
1623,267876.4867
1624,198468.4775
1625,116118.8674
1626,167987.7121
1627,182618.5137
1628,237174.8697
1629,165141.0649
1630,331368.834
1631,217429.0729
1632,238617.8125
1633,164411.2224
1634,193059.5146
1635,184711.2207
1636,169693.5037
1637,200269.5207
1638,212164.4519
1639,191105.9395
1640,239814.7199
1641,171286.424
1642,235211.5046
1643,231439.1723
1644,226984.6752
1645,223738.7919
1646,178810.9638
1647,172796.3597
1648,121143.5807
1649,141220.8891
1650,115304.5446
1651,114737.2232
1652,113496.8626
1653,120358.7502
